,County,Agency,Year,Months Reported,Index Total,Violent Total,Murder,Rape,Robbery,Aggravated Assault,Property Total,Burglary,Larceny,Motor Vehicle Theft,Region
4055,Dutchess,Fishkill Vg PD,2013,12.0,27.0,1.0,0.0,0.0,1.0,0.0,26.0,0.0,26.0,0.0,Non-New York City
4085,Dutchess,Hyde Park Town PD,2013,12.0,198.0,18.0,0.0,3.0,4.0,11.0,180.0,42.0,133.0,5.0,Non-New York City
4118,Dutchess,Millerton Vg PD,2013,12.0,14.0,6.0,0.0,0.0,0.0,6.0,8.0,4.0,4.0,0.0,Non-New York City
4164,Dutchess,Pine Plains Town PD,2013,12.0,13.0,1.0,0.0,0.0,0.0,1.0,12.0,1.0,9.0,2.0,Non-New York City
4191,Dutchess,Poughkeepsie City PD,2013,12.0,1115.0,288.0,7.0,16.0,100.0,165.0,827.0,189.0,590.0,48.0,Non-New York City
4221,Dutchess,Poughkeepsie Town PD,2013,12.0,1379.0,39.0,1.0,1.0,12.0,25.0,1340.0,125.0,1204.0,11.0,Non-New York City
4247,Dutchess,Red Hook Vg PD,2013,12.0,31.0,1.0,0.0,0.0,0.0,1.0,30.0,6.0,24.0,0.0,Non-New York City
4267,Dutchess,Rhinebeck Vg PD,2013,12.0,44.0,2.0,0.0,0.0,0.0,2.0,42.0,0.0,41.0,1.0,Non-New York City
4297,Dutchess,Wappingers Falls Vg PD,2013,12.0,95.0,6.0,0.0,0.0,6.0,0.0,89.0,15.0,73.0,1.0,Non-New York City
4326,Erie,Akron Vg PD,2013,12.0,19.0,3.0,0.0,0.0,0.0,3.0,16.0,1.0,15.0,0.0,Non-New York City
4356,Erie,Amherst Town PD,2013,12.0,2225.0,107.0,1.0,7.0,31.0,68.0,2118.0,204.0,1882.0,32.0,Non-New York City
4403,Erie,Brant Town PD,2013,12.0,35.0,4.0,0.0,0.0,1.0,3.0,31.0,9.0,20.0,2.0,Non-New York City
4433,Erie,Buffalo City PD,2013,12.0,15731.0,3251.0,47.0,150.0,1320.0,1734.0,12480.0,3458.0,8066.0,956.0,Non-New York City
4463,Erie,Cheektowaga Town PD,2013,12.0,2847.0,158.0,0.0,11.0,48.0,99.0,2689.0,345.0,2271.0,73.0,Non-New York City
4493,Erie,County Total,2013,,29295.0,4089.0,55.0,209.0,1501.0,2324.0,25206.0,5222.0,18729.0,1255.0,Non-New York City
4523,Erie,Depew Vg PD,2013,12.0,327.0,17.0,0.0,3.0,2.0,12.0,310.0,54.0,251.0,5.0,Non-New York City
4553,Erie,East Aurora-Town Of Aurora PD,2013,12.0,136.0,5.0,0.0,0.0,2.0,3.0,131.0,24.0,105.0,2.0,Non-New York City
4583,Erie,Eden Town PD,2013,12.0,32.0,1.0,0.0,0.0,0.0,1.0,31.0,7.0,24.0,0.0,Non-New York City
4648,Erie,Erie County Park PD,2013,12.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,2.0,1.0,Non-New York City
4678,Erie,Erie County Sheriff,2013,12.0,1002.0,104.0,2.0,1.0,8.0,93.0,898.0,180.0,695.0,23.0,Non-New York City
4708,Erie,Erie County State Police,2013,12.0,375.0,24.0,0.0,6.0,2.0,16.0,351.0,46.0,287.0,18.0,Non-New York City
4738,Erie,Evans Town PD,2013,12.0,330.0,17.0,0.0,1.0,1.0,15.0,313.0,49.0,258.0,6.0,Non-New York City
4768,Erie,Gowanda Vg PD,2013,12.0,34.0,5.0,0.0,0.0,0.0,5.0,29.0,11.0,16.0,2.0,Non-New York City
4798,Erie,Hamburg Town PD,2013,12.0,1205.0,38.0,1.0,1.0,12.0,24.0,1167.0,134.0,1012.0,21.0,Non-New York City
4828,Erie,Hamburg Vg PD,2013,12.0,169.0,8.0,0.0,2.0,0.0,6.0,161.0,40.0,121.0,0.0,Non-New York City
4858,Erie,Kenmore Vg PD,2013,12.0,246.0,26.0,1.0,2.0,10.0,13.0,220.0,34.0,181.0,5.0,Non-New York City
4888,Erie,Lackawanna City PD,2013,12.0,622.0,89.0,1.0,13.0,11.0,64.0,533.0,100.0,398.0,35.0,Non-New York City
4918,Erie,Lancaster Town PD,2013,12.0,562.0,15.0,0.0,1.0,4.0,10.0,547.0,44.0,494.0,9.0,Non-New York City
4965,Erie,Orchard Park Town PD,2013,12.0,362.0,16.0,0.0,2.0,4.0,10.0,346.0,37.0,297.0,12.0,Non-New York City
